gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut
52,Trinidad and Tobago,2011,2015,Blacks,2000,5202000,,0.342,JUNIOR PARTNER,false
52,Trinidad and Tobago,2016,2017,East Indians,1000,5201000,,0.354,JUNIOR PARTNER,false
52,Trinidad and Tobago,2016,2017,Blacks,2000,5202000,,0.342,SENIOR PARTNER,false
53,Barbados,1966,2017,Barbadians,1000,5301000,,1,IRRELEVANT,
70,Mexico,1946,1974,Mestizos,1000,7001000,,0.801,DOMINANT,
70,Mexico,1946,1974,Other indigenous groups,3000,7003000,,0.142,DISCRIMINATED,false
70,Mexico,1946,1974,Afromexicans,9000,7009000,,0.05,DISCRIMINATED,false
70,Mexico,1946,1974,Maya,2000,7002000,,0.007,DISCRIMINATED,false
70,Mexico,1975,1997,Mestizos,1000,7001000,,0.801,DOMINANT,
70,Mexico,1975,1997,Other indigenous groups,3000,7003000,,0.142,POWERLESS,false
70,Mexico,1975,1997,Afromexicans,9000,7009000,,0.05,IRRELEVANT,
70,Mexico,1975,1997,Maya,2000,7002000,,0.007,POWERLESS,false
70,Mexico,1998,2017,Mestizos,1000,7001000,,0.801,DOMINANT,
70,Mexico,1998,2017,Other indigenous groups,3000,7003000,,0.142,POWERLESS,false
70,Mexico,1998,2017,Afromexicans,9000,7009000,,0.05,POWERLESS,false
70,Mexico,1998,2017,Maya,2000,7002000,,0.007,SELF-EXCLUSION,true
80,Belize,1981,1984,Mestizos,1000,8001000,,0.4357,JUNIOR PARTNER,false
80,Belize,1981,1984,Creoles,2000,8002000,,0.298,SENIOR PARTNER,false
80,Belize,1981,1984,Maya,3000,8003000,,0.1105,POWERLESS,false
80,Belize,1981,1984,Garifuna,4000,8004000,,0.0664,POWERLESS,false
80,Belize,1985,1989,Mestizos,1000,8001000,,0.4357,SENIOR PARTNER,false
80,Belize,1985,1989,Creoles,2000,8002000,,0.298,JUNIOR PARTNER,false
80,Belize,1985,1989,Maya,3000,8003000,,0.1105,POWERLESS,false
80,Belize,1985,1989,Garifuna,4000,8004000,,0.0664,POWERLESS,false
80,Belize,1990,1993,Mestizos,1000,8001000,,0.4357,JUNIOR PARTNER,false
80,Belize,1990,1993,Creoles,2000,8002000,,0.298,SENIOR PARTNER,false
80,Belize,1990,1993,Maya,3000,8003000,,0.1105,POWERLESS,false
80,Belize,1990,1993,Garifuna,4000,8004000,,0.0664,POWERLESS,false
80,Belize,1994,1998,Mestizos,1000,8001000,,0.4357,SENIOR PARTNER,false
80,Belize,1994,1998,Creoles,2000,8002000,,0.298,JUNIOR PARTNER,false
80,Belize,1994,1998,Maya,3000,8003000,,0.1105,POWERLESS,false
80,Belize,1994,1998,Garifuna,4000,8004000,,0.0664,POWERLESS,false
80,Belize,1999,1999,Mestizos,1000,8001000,,0.4357,JUNIOR PARTNER,false
80,Belize,1999,1999,Creoles,2000,8002000,,0.298,SENIOR PARTNER,false
80,Belize,1999,1999,Maya,3000,8003000,,0.1105,POWERLESS,false
80,Belize,1999,1999,Garifuna,4000,8004000,,0.0664,POWERLESS,false
80,Belize,2000,2009,Mestizos,1000,8001000,,0.487,JUNIOR PARTNER,false
80,Belize,2000,2009,Creoles,2000,8002000,,0.2493,SENIOR PARTNER,false
80,Belize,2000,2009,Maya,3000,8003000,,0.1056,POWERLESS,false
80,Belize,2000,2009,Garifuna,4000,8004000,,0.0606,POWERLESS,false
80,Belize,2010,2017,Mestizos,1000,8001000,,0.529,JUNIOR PARTNER,false
80,Belize,2010,2017,Creoles,2000,8002000,,0.259,SENIOR PARTNER,false
80,Belize,2010,2017,Maya,3000,8003000,,0.113,POWERLESS,false
80,Belize,2010,2017,Garifuna,4000,8004000,,0.061,POWERLESS,false
90,Guatemala,1946,1954,Maya,2000,9002000,,0.515,POWERLESS,false
90,Guatemala,1946,1954,Ladinos,1000,9001000,,0.48,MONOPOLY,
90,Guatemala,1946,1954,Xinca,4000,9004000,,0.003,IRRELEVANT,
90,Guatemala,1946,1954,Garífuna,3000,9003000,,0.002,IRRELEVANT,
90,Guatemala,1955,1995,Maya,2000,9002000,,0.515,DISCRIMINATED,false
90,Guatemala,1955,1995,Ladinos,1000,9001000,,0.48,MONOPOLY,
90,Guatemala,1955,1995,Xinca,4000,9004000,,0.003,IRRELEVANT,
90,Guatemala,1955,1995,Garífuna,3000,9003000,,0.002,IRRELEVANT,
90,Guatemala,1996,2017,Maya,2000,9002000,,0.515,POWERLESS,false
90,Guatemala,1996,2017,Ladinos,1000,9001000,,0.48,DOMINANT,
90,Guatemala,1996,2017,Xinca,4000,9004000,,0.003,POWERLESS,false
90,Guatemala,1996,2017,Garífuna,3000,9003000,,0.002,POWERLESS,false
91,Honduras,1946,1974,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,
91,Honduras,1946,1974,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.07,IRRELEVANT,
91,Honduras,1946,1974,Garifuna,10000,9110000,,0.016,DISCRIMINATED,false
91,Honduras,1975,1989,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,
91,Honduras,1975,1989,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.07,POWERLESS,false
91,Honduras,1975,1989,Garifuna,10000,9110000,,0.016,DISCRIMINATED,false
91,Honduras,1990,2017,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,
91,Honduras,1990,2017,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.07,POWERLESS,false
91,Honduras,1990,2017,Garifuna,10000,9110000,,0.016,POWERLESS,false
92,El Salvador,1946,1994,Whites/mestizos,1000,9201000,,0.9,MONOPOLY,
92,El Salvador,1946,1994,Indigenous peoples,2000,9202000,,0.1,DISCRIMINATED,false
92,El Salvador,1995,2017,Whites/mestizos,1000,9201000,,0.9,MONOPOLY,
92,El Salvador,1995,2017,Indigenous peoples,2000,9202000,,0.1,POWERLESS,false
93,Nicaragua,1946,1987,Whites/mestizos,1000,9301000,,0.86,MONOPOLY,
93,Nicaragua,1946,1987,Afronicaraguans,2000,9302000,,0.09,POWERLESS,false
93,Nicaragua,1946,1987,Miskitos,3000,9303000,,0.035,POWERLESS,false
93,Nicaragua,1946,1987,Sumus,5000,9305000,,0.002,POWERLESS,false
93,Nicaragua,1988,2017,Whites/mestizos,1000,9301000,,0.86,DOMINANT,
93,Nicaragua,1988,2017,Afronicaraguans,2000,9302000,,0.09,POWERLESS,false
93,Nicaragua,1988,2017,Miskitos,3000,9303000,,0.035,POWERLESS,false
93,Nicaragua,1988,2017,Sumus,5000,9305000,,0.002,POWERLESS,false
94,Costa Rica,1946,1953,Whites/mestizos,1000,9401000,,0.837,MONOPOLY,
94,Costa Rica,1946,1953,Afro-Costa Ricans,2000,9402000,,0.078,DISCRIMINATED,false
94,Costa Rica,1946,1953,Indigenous peoples,3000,9403000,,0.024,DISCRIMINATED,false
94,Costa Rica,1954,1991,Whites/mestizos,1000,9401000,,0.837,DOMINANT,
94,Costa Rica,1954,1991,Afro-Costa Ricans,2000,9402000,,0.078,POWERLESS,false
94,Costa Rica,1954,1991,Indigenous peoples,3000,9403000,,0.024,DISCRIMINATED,false
94,Costa Rica,1992,2017,Whites/mestizos,1000,9401000,,0.837,DOMINANT,
94,Costa Rica,1992,2017,Afro-Costa Ricans,2000,9402000,,0.078,POWERLESS,false
94,Costa Rica,1992,2017,Indigenous peoples,3000,9403000,,0.024,POWERLESS,false
95,Panama,1946,1959,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,
95,Panama,1946,1959,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1946,1959,Ngobe-Bugle,3000,9503000,,0.04,IRRELEVANT,
95,Panama,1946,1959,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1946,1959,Choco (Embera-Wounan),5000,9505000,,0.003,IRRELEVANT,
95,Panama,1960,1983,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,
95,Panama,1960,1983,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1960,1983,Ngobe-Bugle,3000,9503000,,0.04,POWERLESS,false
95,Panama,1960,1983,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1960,1983,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,false
95,Panama,1984,1997,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,
95,Panama,1984,1997,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1984,1997,Ngobe-Bugle,3000,9503000,,0.04,POWERLESS,false
95,Panama,1984,1997,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1984,1997,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,true
95,Panama,1998,2017,Whites/mestizos,1000,9501000,,0.8,DOMINANT,
95,Panama,1998,2017,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1998,2017,Ngobe-Bugle,3000,9503000,,0.04,POWERLESS,true
95,Panama,1998,2017,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1998,2017,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,true
100,Colombia,1946,1979,Whites/mestizos,1000,10001000,,0.73,MONOPOLY,
100,Colombia,1946,1979,Afrocolumbians,2000,10002000,,0.23,IRRELEVANT,
100,Colombia,1946,1979,Indigenous peoples,3000,10003000,,0.034,DISCRIMINATED,false
100,Colombia,1980,1991,Whites/mestizos,1000,10001000,,0.73,MONOPOLY,
100,Colombia,1980,1991,Afrocolumbians,2000,10002000,,0.23,POWERLESS,false
100,Colombia,1980,1991,Indigenous peoples,3000,10003000,,0.034,DISCRIMINATED,false
100,Colombia,1992,2017,Whites/mestizos,1000,10001000,,0.73,DOMINANT,
100,Colombia,1992,2017,Afrocolumbians,2000,10002000,,0.23,POWERLESS,false
100,Colombia,1992,2017,Indigenous peoples,3000,10003000,,0.034,POWERLESS,true
101,Venezuela,1946,1972,Whites/mestizos,1000,10101000,,0.848,IRRELEVANT,
101,Venezuela,1946,1972,Afrovenezuelans,2000,10102000,,0.125,IRRELEVANT,
101,Venezuela,1946,1972,Indigenous peoples,3000,10103000,,0.027,IRRELEVANT,
101,Venezuela,1973,1999,Whites/mestizos,1000,10101000,,0.848,MONOPOLY,
101,Venezuela,1973,1999,Afrovenezuelans,2000,10102000,,0.125,IRRELEVANT,
101,Venezuela,1973,1999,Indigenous peoples,3000,10103000,,0.027,POWERLESS,false
101,Venezuela,2000,2017,Whites/mestizos,1000,10101000,,0.848,DOMINANT,
101,Venezuela,2000,2017,Afrovenezuelans,2000,10102000,,0.125,POWERLESS,false
101,Venezuela,2000,2017,Indigenous peoples,3000,10103000,,0.027,POWERLESS,true
110,Guyana (British Guiana),1966,1991,Indo-Guyanese,1000,11001000,,0.435,POWERLESS,false
110,Guyana (British Guiana),1966,1991,Afro-Guyanese,2000,11002000,,0.302,DOMINANT,
110,Guyana (British Guiana),1966,1991,Indigenous peoples,3000,11003000,,0.092,POWERLESS,false
110,Guyana (British Guiana),1992,2015,Indo-Guyanese,1000,11001000,,0.435,DOMINANT,
110,Guyana (British Guiana),1992,2015,Afro-Guyanese,2000,11002000,,0.302,POWERLESS,false
110,Guyana (British Guiana),1992,2015,Indigenous peoples,3000,11003000,,0.092,POWERLESS,false
110,Guyana (British Guiana),2016,2017,Indo-Guyanese,1000,11001000,,0.435,JUNIOR PARTNER,false
110,Guyana (British Guiana),2016,2017,Afro-Guyanese,2000,11002000,,0.302,SENIOR PARTNER,false
110,Guyana (British Guiana),2016,2017,Indigenous peoples,3000,11003000,,0.092,POWERLESS,false
115,Suriname,1975,1986,East Indians,3000,11503000,,0.376,JUNIOR PARTNER,false
115,Suriname,1975,1986,Creoles,1000,11501000,,0.314,SENIOR PARTNER,false
115,Suriname,1975,1986,Javanese,5000,11505000,,0.152,JUNIOR PARTNER,false
115,Suriname,1975,1986,Maroons,6000,11506000,,0.094,POWERLESS,false
115,Suriname,1975,1986,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,false
115,Suriname,1975,1986,Chinese,2000,11502000,,0.015,POWERLESS,false
115,Suriname,1987,1992,East Indians,3000,11503000,,0.376,JUNIOR PARTNER,false
115,Suriname,1987,1992,Creoles,1000,11501000,,0.314,SENIOR PARTNER,false
115,Suriname,1987,1992,Javanese,5000,11505000,,0.152,JUNIOR PARTNER,false
115,Suriname,1987,1992,Maroons,6000,11506000,,0.094,DISCRIMINATED,false
115,Suriname,1987,1992,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,false
115,Suriname,1987,1992,Chinese,2000,11502000,,0.015,POWERLESS,false
115,Suriname,1993,2003,East Indians,3000,11503000,,0.376,JUNIOR PARTNER,false
115,Suriname,1993,2003,Creoles,1000,11501000,,0.314,SENIOR PARTNER,false
115,Suriname,1993,2003,Javanese,5000,11505000,,0.152,JUNIOR PARTNER,false
115,Suriname,1993,2003,Maroons,6000,11506000,,0.094,POWERLESS,false
115,Suriname,1993,2003,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,false
115,Suriname,1993,2003,Chinese,2000,11502000,,0.015,POWERLESS,false
115,Suriname,2004,2011,Creoles,1000,11501000,,0.302,SENIOR PARTNER,false
115,Suriname,2004,2011,East Indians,3000,11503000,,0.274,JUNIOR PARTNER,false
115,Suriname,2004,2011,Maroons,6000,11506000,,0.147,POWERLESS,false
115,Suriname,2004,2011,Javanese,5000,11505000,,0.146,JUNIOR PARTNER,false
115,Suriname,2004,2011,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,false
115,Suriname,2004,2011,Chinese,2000,11502000,,0.015,POWERLESS,false
115,Suriname,2012,2017,Creoles,1000,11501000,,0.2904,SENIOR PARTNER,false
115,Suriname,2012,2017,East Indians,3000,11503000,,0.274,JUNIOR PARTNER,false
115,Suriname,2012,2017,Maroons,6000,11506000,,0.217,POWERLESS,false
115,Suriname,2012,2017,Javanese,5000,11505000,,0.137,JUNIOR PARTNER,false
115,Suriname,2012,2017,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.038,POWERLESS,false
115,Suriname,2012,2017,Chinese,2000,11502000,,0.015,POWERLESS,false
130,Ecuador,1946,1979,Whites/mestizos,2000,13002000,,0.81,MONOPOLY,
130,Ecuador,1946,1979,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,DISCRIMINATED,false
130,Ecuador,1946,1979,Afro-Ecuadorians,5000,13005000,,0.05,DISCRIMINATED,false
130,Ecuador,1946,1979,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,DISCRIMINATED,false
130,Ecuador,1980,2000,Whites/mestizos,2000,13002000,,0.81,MONOPOLY,
130,Ecuador,1980,2000,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,POWERLESS,false
130,Ecuador,1980,2000,Afro-Ecuadorians,5000,13005000,,0.05,POWERLESS,false
130,Ecuador,1980,2000,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,POWERLESS,false
130,Ecuador,2001,2004,Whites/mestizos,2000,13002000,,0.81,DOMINANT,
130,Ecuador,2001,2004,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,POWERLESS,true
130,Ecuador,2001,2004,Afro-Ecuadorians,5000,13005000,,0.05,POWERLESS,false
130,Ecuador,2001,2004,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,POWERLESS,false
130,Ecuador,2005,2017,Whites/mestizos,2000,13002000,,0.81,DOMINANT,
130,Ecuador,2005,2017,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,POWERLESS,true
130,Ecuador,2005,2017,Afro-Ecuadorians,5000,13005000,,0.05,POWERLESS,false
130,Ecuador,2005,2017,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,POWERLESS,true
135,Peru,1946,1967,Whites/mestizos,2000,13502000,,0.52,MONOPOLY,
135,Peru,1946,1967,Indigenous peoples of the Andes,1000,13501000,,0.361,DISCRIMINATED,false
135,Peru,1946,1967,Afroperuvians,4000,13504000,,0.05,DISCRIMINATED,false
135,Peru,1946,1967,Indigenous peoples of the Amazon,5000,13505000,,0.012,DISCRIMINATED,false
135,Peru,1968,1979,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,1968,1979,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,false
135,Peru,1968,1979,Afroperuvians,4000,13504000,,0.05,IRRELEVANT,
135,Peru,1968,1979,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,false
135,Peru,1980,2002,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,1980,2002,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,false
135,Peru,1980,2002,Afroperuvians,4000,13504000,,0.05,POWERLESS,false
135,Peru,1980,2002,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,true
135,Peru,2003,2010,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,2003,2010,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,true
135,Peru,2003,2010,Afroperuvians,4000,13504000,,0.05,POWERLESS,false
135,Peru,2003,2010,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,true
135,Peru,2011,2014,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,2011,2014,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,false
135,Peru,2011,2014,Afroperuvians,4000,13504000,,0.05,POWERLESS,false
135,Peru,2011,2014,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,true
135,Peru,2015,2017,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,2015,2017,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,true
135,Peru,2015,2017,Afroperuvians,4000,13504000,,0.05,POWERLESS,false
135,Peru,2015,2017,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,true
140,Brazil,1946,1977,Whites,1000,14001000,,0.54,IRRELEVANT,
140,Brazil,1946,1977,Afrobrazilians,2000,14002000,,0.45,IRRELEVANT,
140,Brazil,1946,1977,Indigenous peoples,3000,14003000,,0.004,IRRELEVANT,
140,Brazil,1978,2002,Whites,1000,14001000,,0.54,DOMINANT,
140,Brazil,1978,2002,Afrobrazilians,2000,14002000,,0.45,POWERLESS,false
140,Brazil,1978,2002,Indigenous peoples,3000,14003000,,0.004,POWERLESS,false
140,Brazil,2003,2010,Whites,1000,14001000,,0.54,SENIOR PARTNER,false
140,Brazil,2003,2010,Afrobrazilians,2000,14002000,,0.45,JUNIOR PARTNER,false
140,Brazil,2003,2010,Indigenous peoples,3000,14003000,,0.004,POWERLESS,false
140,Brazil,2011,2017,Afrobrazilians,2000,14002000,,0.507,POWERLESS,false
140,Brazil,2011,2017,Whites,1000,14001000,,0.477,DOMINANT,
140,Brazil,2011,2017,Indigenous peoples,3000,14003000,,0.004,POWERLESS,false
145,Bolivia,1946,1952,Whites/mestizos,4000,14504000,,0.41,MONOPOLY,
145,Bolivia,1946,1952,Quechua,3000,14503000,,0.31,DISCRIMINATED,false
145,Bolivia,1946,1952,Aymara,5000,14505000,,0.25,DISCRIMINATED,false
145,Bolivia,1946,1952,Guaraní­ and other eastern indigenous groups,6000,14506000,,0.03,DISCRIMINATED,false
145,Bolivia,1953,1981,Whites/mestizos,4000,14504000,,0.41,DOMINANT,
145,Bolivia,1953,1981,Quechua,3000,14503000,,0.31,POWERLESS,false
145,Bolivia,1953,1981,Aymara,5000,14505000,,0.25,POWERLESS,false
145,Bolivia,1953,1981,Guaraní­ and other eastern indigenous groups,6000,14506000,,0.03,IRRELEVANT,
145,Bolivia,1982,1992,Whites/mestizos,4000,14504000,,0.41,DOMINANT,
145,Bolivia,1982,1992,Quechua,3000,14503000,,0.31,POWERLESS,false
145,Bolivia,1982,1992,Aymara,5000,14505000,,0.25,POWERLESS,false
145,Bolivia,1982,1992,Guaraní­ and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,1993,1993,Whites/mestizos,4000,14504000,,0.41,SENIOR PARTNER,false
145,Bolivia,1993,1993,Quechua,3000,14503000,,0.31,POWERLESS,false
145,Bolivia,1993,1993,Aymara,5000,14505000,,0.25,JUNIOR PARTNER,false
145,Bolivia,1993,1993,Guaraní­ and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,1994,1997,Whites/mestizos,4000,14504000,,0.41,SENIOR PARTNER,true
145,Bolivia,1994,1997,Quechua,3000,14503000,,0.31,POWERLESS,true
145,Bolivia,1994,1997,Aymara,5000,14505000,,0.25,JUNIOR PARTNER,true
145,Bolivia,1994,1997,Guaraní­ and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,1998,2005,Whites/mestizos,4000,14504000,,0.41,DOMINANT,
145,Bolivia,1998,2005,Quechua,3000,14503000,,0.31,POWERLESS,true
145,Bolivia,1998,2005,Aymara,5000,14505000,,0.25,POWERLESS,true
145,Bolivia,1998,2005,Guaraní­ and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,2006,2017,Whites/mestizos,4000,14504000,,0.41,JUNIOR PARTNER,true
145,Bolivia,2006,2017,Quechua,3000,14503000,,0.31,JUNIOR PARTNER,true
145,Bolivia,2006,2017,Aymara,5000,14505000,,0.25,SENIOR PARTNER,true
145,Bolivia,2006,2017,Guaraní­ and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
150,Paraguay,1946,1992,Whites/mestizos,1000,15001000,,0.945,MONOPOLY,
150,Paraguay,1946,1992,Tupi-Guaraní and other indigenous groups,5000,15005000,,0.02,DISCRIMINATED,false
150,Paraguay,1993,2017,Whites/mestizos,1000,15001000,,0.945,MONOPOLY,
150,Paraguay,1993,2017,Tupi-Guaraní and other indigenous groups,5000,15005000,,0.02,POWERLESS,false
155,Chile,1946,1952,Whites/mestizos,1000,15501000,,0.91,MONOPOLY,
155,Chile,1946,1952,Mapuche,2000,15502000,,0.075,POWERLESS,false
155,Chile,1946,1952,Other indigenous peoples,3000,15503000,,0.015,DISCRIMINATED,false
155,Chile,1953,1958,Whites/mestizos,1000,15501000,,0.91,DOMINANT,
155,Chile,1953,1958,Mapuche,2000,15502000,,0.075,POWERLESS,false
155,Chile,1953,1958,Other indigenous peoples,3000,15503000,,0.015,DISCRIMINATED,false
155,Chile,1959,1973,Whites/mestizos,1000,15501000,,0.91,MONOPOLY,
155,Chile,1959,1973,Mapuche,2000,15502000,,0.075,POWERLESS,false
155,Chile,1959,1973,Other indigenous peoples,3000,15503000,,0.015,DISCRIMINATED,false
155,Chile,1974,1990,Whites/mestizos,1000,15501000,,0.91,MONOPOLY,
155,Chile,1974,1990,Mapuche,2000,15502000,,0.075,DISCRIMINATED,false
155,Chile,1974,1990,Other indigenous peoples,3000,15503000,,0.015,DISCRIMINATED,false
